Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
走步,脚力,博,0.8039,0.7491,0.4919
愿意,知道,挽留,0.7718,0.7547,0.6765
温情,放开,朋友,0.8719,0.795,0.7524
青菜,菜叶,豆腐汤,0.9017,0.8952,0.804
真爱,抱抱,何必,0.8417,0.8129,0.7929
长肉,瘦,。。。,0.8956,0.8572,0.5518
毛病,心理作用,眼珠子,0.7663,0.6527,0.5091
呕血,夜班,一下子,0.8943,0.6751,0.2662
成长,怎么样,不管,0.8135,0.7728,0.7448
护士,主治,想要,0.8518,0.8207,0.1718
自卑,骨子里,一两句话,0.8771,0.8576,0.7518
二十岁,物极必反,天蝎座,0.9101,0.8795,0.8421
来,地方,又,0.7511,0.6436,0.4951
师父,情人,前世,0.8421,0.7973,0.6723
人缘,本事,圆满,0.827,0.7927,0.6317
只是,》。,兵,0.7577,0.5481,0.4881
住院,真的,旁边,0.948,0.2031,0.145
不介意,几十年,心态,0.86,0.781,0.7286
医院,真是太,咖啡厅,0.8886,0.169,-0.0045
优柔寡断,收获,对付,0.9012,0.7958,0.6845
小哥,不要,有事,0.7515,0.5899,0.5152
争宠,争功,上级,0.7792,0.706,0.519
不好,生存,《》、,0.8078,0.7305,0.7162
汤圆,老板,客人,0.6616,0.524,0.3364
酱菜,买,把,0.7343,0.2743,0.2
回忆,未来,残忍,0.7975,0.7936,0.7448
改变,其实,残酷,0.7943,0.7711,0.7395
美味,螺蛳,百事可乐,0.7661,0.6944,0.6924
夜班,是夜,样子,0.9209,0.2662,0.2104
走走,好意思,很美,0.8031,0.7672,0.6605
男医生,产科,冷落,0.9503,0.9261,0.1621
一天,睡醒,开始,0.8191,0.7744,0.6415
不信,糊弄,过去,0.8391,0.7978,0.6941
急诊,血案,回来,0.9431,0.7982,0.1401
不治,癌症,背单词,0.8408,0.8255,0.3045
补牙,于是,来,0.838,0.395,0.2073
夏天,他妈的,人间,0.8425,0.7845,0.7644
肉松,吃素,一大早,0.7943,0.78,0.4894
午饭,块钱,。。。,0.773,0.683,0.6613
老师,两年,匆匆,0.8706,0.2811,0.1845
想着,一个,其他,0.7546,0.7075,0.4765
逼人,智者,思念,0.8251,0.7016,0.6954
好听,绯闻,《》,0.8739,0.8244,0.737
忙,肯定,要,0.805,0.5284,0.4875
明天,没了,高,0.7183,0.6678,0.6508
累死,干,真受不了,0.7529,0.6108,0.5731
简单,大道,问题,0.779,0.4991,0.4398
影版,原班人马,校,0.7686,0.7577,0.2962
情绪,身体,较大,0.697,0.664,0.6157
医院,最后,在,0.9282,0.2025,0.0202
一个,眠,不,0.6371,0.5732,0.5605
爬楼,电梯,等,0.7259,0.6958,0.6256
三个,小时,一袋,0.3761,0.3723,0.3418
勿施于人,己所不欲,0.9119,0.911,,
门诊,手术,第三天,0.9259,0.8922,0.2275
医院,狂犬,金毛,0.8511,0.8505,0.2311
生病,真的,得空,0.7997,0.4933,0.3848
血,慢,就是,0.8883,0.1473,0.1313
可爱,土土,谁,0.8428,0.8169,0.7206
急救车,回家,幸好,0.8683,0.4684,0.4107
等待,煎熬,折磨,0.8606,0.7627,0.4829
验血,检查,希望,0.9312,0.7889,0.1024
打点滴,医院,年轻人,0.9269,0.8769,0.2917
别人,赔钱,第一次,0.7657,0.7516,0.6329
白菜,白粉,，,0.8646,0.206,0.116
手术,伤筋动骨,更是如此,0.8725,0.729,0.3096
等,号,初七,0.762,0.6104,0.4352
心脏,回去,其他,0.7002,0.1587,0.1083
医生,黄疸,衣服,0.8647,0.8058,0.1896
狂犬,医院,男人,0.8682,0.8614,0.2711
夜班,第一场,上夜,0.8872,0.5219,0.3691
会心,喜怒哀乐,停留,0.8375,0.8179,0.383
医院,晚安,在,0.9378,0.1336,0.0266
冰冷,别人,个人,0.8336,0.7241,0.5742
病号,绝对,在,0.9456,0.2181,0.0265
生病,脾气,坚持,0.9251,0.4039,0.3604
母乳,疼,尿不湿,0.7211,0.6534,0.4942
医院,发烧,浑身,0.901,0.8683,0.2873
医院,就诊,集齐,0.9339,0.9338,0.1478
天亮,日出,熬到,0.8092,0.8027,0.6395
针,吊个,不消,0.5942,0.5647,0.5498
输液,体温,教训,0.8537,0.5556,0.3287
医院,候诊,不禁,0.878,0.8495,0.2134
生病,健康,感觉,0.9237,0.6574,0.3212
小宝贝,小宝,滴,0.9237,0.8244,0.5179
围巾,冬天,表态,0.8559,0.8378,0.7601
一整天,战场,这里,0.8248,0.6316,0.5574
恭喜,这份,活动,0.7848,0.7124,0.6124
奈何,告诉,她,0.7352,0.7184,0.6631
痘,一脸,为什么,0.8289,0.6251,0.5445
贫血,补血,唉,0.9224,0.9196,0.21
乖乖,小,0.9445,0.7952,,
做手术,穿衣服,吃饭,0.8088,0.2748,0.215
痛苦,蚊子,觉得,0.7608,0.7465,0.6708
越做越,专业,入场,0.6107,0.2675,0.2084
医生,止疼药,年纪轻轻,0.8454,0.6076,0.4082
甜,一点点,一点,0.8444,0.8365,0.7642
凉,啊,要,0.7465,0.7053,0.5481
